证券类别,数量,成交金额,总市值,流通市值
股票,2921,1434272316012.66,46153382459580.87,39613324733645.45
主板A股,1491,751979676861.46,27268555019342.11,24308995127730.73
主板B股,38,48960682.4,42641153633.87,42622812017.92
创业板A股,1392,682243678468.8,18842186286604.89,15261706793896.8
基金,911,179627963830.33,1852493605204.27,1823070706272.36
ETF,600,174953031967.28,1723777278384.52,1723777278384.52
LOF,285,4415323587.28,54722591342.35,54722591342.35
封闭式基金,0,0.0,0.0,0.0
不动产基金,26,259608275.76,73993735477.38,44570836545.48
债券,17492,363690541855.71,,
债券现券,16697,60873890341.4,98415595286609.62,3353703643144.39
债券回购,27,301782967508.78,,
ABS,768,1033684005.53,497015889264.17,497015889264.17
期权,614,1303864876.52,,
